skin_concern,skin_type,home_remedy,chemical_product
Acne,Oily,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Squalane	BHA (Beta Hydroxy Acid)	Hydroquinone	Glycolic Acid	Caprylic Acid"
Acne,Oily,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	Hydroquinone	Oxybenzone	Licorice Extract	Ferulic Acid	Avobenzone"
Acne,Oily,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	Lactic Acid	Retinol	Benzoic Acid	Avobenzone	Caffeine"
Acne,Oily,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Tocopherol	Gluconolactone	Triclosan	Tartaric Acid	Alpha Arbutin"
Acne,Oily,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	Salicylic Acid	Peptides	Octinoxate	Tartaric Acid	BHA (Beta Hydroxy Acid)"
Acne,Oily,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Glycolic Acid	Ceramides	Retinol	Sodium PCA	Disodium EDTA"
Wrinkles,Normal,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Sodium Hydroxide	Tocopherol	Citric Acid	BHT (Butylated Hydroxytoluene)	Glycolic Acid"
Wrinkles,Normal,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Octinoxate	Peptides	Tartaric Acid	BHA (Beta Hydroxy Acid)	Tocopherol"
Wrinkles,Normal,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Tocopherol	BHA (Beta Hydroxy Acid)	Dimethyl Sulfone	Retinol	BHT (Butylated Hydroxytoluene)"
Wrinkles,Normal,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Ceramides	Phenoxyethanol	Tocopherol	Caffeine	Dimethicone"
Wrinkles,Normal,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	Sodium Hydroxide	Ferulic Acid	Sodium PCA	Benzoyl Peroxide	Salicylic Acid"
Wrinkles,Normal,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Triclosan	Azelaic Acid	Ethylhexylglycerin	Phenoxyethanol	Citric Acid"
Wrinkles,Normal,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Butylene Glycol	Benzoyl Peroxide	Panthenol	Disodium EDTA	Glycerin"
Wrinkles,Sensitive,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	BHA (Beta Hydroxy Acid)	Zinc Oxide	Oxybenzone	Resveratrol	Squalane"
Wrinkles,Sensitive,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	Ethylhexylglycerin	Kojic Acid	Benzoyl Peroxide	Ceramides	Retinol"
Wrinkles,Sensitive,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	BHA (Beta Hydroxy Acid)	Azelaic Acid	Glycerin	Niacinamide	Tartaric Acid"
Wrinkles,Sensitive,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Dimethicone	Benzoic Acid	Hydroquinone	Glycerin	Retinol"
Wrinkles,Sensitive,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	Butylene Glycol	Carbomer	Resveratrol	Urea	Alpha Arbutin"
Wrinkles,Sensitive,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	Glycerin	Squalane	Avobenzone	Azelaic Acid	Tocopherol"
Wrinkles,Sensitive,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Gluconolactone	Titanium Dioxide	Benzoyl Peroxide	Kojic Acid	Ceramides"
Wrinkles,Combinational,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	Sodium PCA	Ethylhexylglycerin	Salicylic Acid	Tocopherol	Butylene Glycol"
Wrinkles,Combinational,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	BHT (Butylated Hydroxytoluene)	Tocopherol	AHA (Alpha Hydroxy Acid)	Butylene Glycol	Ceramides"
Wrinkles,Combinational,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	Oxybenzone	Niacinamide	Retinol	Urea	Caffeine"
Wrinkles,Combinational,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Glycerin	Caprylic Acid	Propylene Glycol	Phenoxyethanol	Allantoin"
Wrinkles,Combinational,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	Disodium EDTA	Allantoin	BHT (Butylated Hydroxytoluene)	Retinol	Ceramides"
Wrinkles,Combinational,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Dimethicone	Sodium Hydroxide	Retinol	BHA (Beta Hydroxy Acid)	AHA (Alpha Hydroxy Acid)"
Wrinkles,Combinational,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Tartaric Acid	Phenoxyethanol	Hydroquinone	Ceramides	Disodium EDTA"
Wrinkles,Dry,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Butylene Glycol	Avobenzone	Triethanolamine	Azelaic Acid	Disodium EDTA"
Wrinkles,Dry,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	Ceramides	Licorice Extract	Gluconolactone	Lactic Acid	Benzoyl Peroxide"
Wrinkles,Dry,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	Phenoxyethanol	Peptides	Urea	Alpha Arbutin	Dimethicone"
Wrinkles,Dry,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	Glycerin	Titanium Dioxide	Hydroquinone	Phenoxyethanol	Resveratrol"
Wrinkles,Dry,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Niacinamide	Panthenol	Kojic Acid	Avobenzone	Butylene Glycol"
Wrinkles,Dry,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Ferulic Acid	Ceramides	Avobenzone	Urea	Oxybenzone"
Wrinkles,Dry,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Carbomer	Niacinamide	Gluconolactone	Sodium Hydroxide	Alpha Arbutin"
Wrinkles,Oily,"	Papaya	Banana	Milk	Honey	Oatmeal","	Triethanolamine	Peptides	Alpha Arbutin	Benzoic Acid	Oxybenzone"
Wrinkles,Oily,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Caprylic Acid	Octinoxate	Cyclopentasiloxane	BHT (Butylated Hydroxytoluene)	Glycolic Acid"
Wrinkles,Oily,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Salicylic Acid	Niacinamide	Glycolic Acid	Sodium Hydroxide	Disodium EDTA"
Wrinkles,Oily,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	BHT (Butylated Hydroxytoluene)	Panthenol	Sodium Hydroxide	Zinc Oxide	Disodium EDTA"
Wrinkles,Oily,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	BHT (Butylated Hydroxytoluene)	Allantoin	Oxybenzone	Avobenzone	Salicylic Acid"
Wrinkles,Oily,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Ethylhexylglycerin	Avobenzone	Carbomer	Resveratrol	Sodium Hydroxide"
Wrinkles,Oily,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Urea	Propylene Glycol	Sodium PCA	Tartaric Acid	Caffeine"
Dryness,Normal,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	Urea	AHA (Alpha Hydroxy Acid)	Retinol	Squalane	Lactic Acid"
Dryness,Normal,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	Alpha Arbutin	BHA (Beta Hydroxy Acid)	Allantoin	Propylene Glycol	AHA (Alpha Hydroxy Acid)"
Dryness,Normal,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Zinc Oxide	Cyclopentasiloxane	Octinoxate	Peptides	Dimethicone"
Dryness,Normal,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	Glycerin	Dimethicone	Caprylic Acid	Hydroquinone	Caffeine"
Dryness,Normal,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Ceramides	Dimethyl Sulfone	Tocopherol	Gluconolactone	Butylene Glycol"
Dryness,Normal,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Vitamin C	Dimethicone	Sodium PCA	AHA (Alpha Hydroxy Acid)	Benzoyl Peroxide"
Dryness,Normal,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Ferulic Acid	BHA (Beta Hydroxy Acid)	Sodium PCA	Peptides	Vitamin C"
Dryness,Sensitive,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Lactic Acid	Resveratrol	Citric Acid	Oxybenzone	Allantoin"
Dryness,Sensitive,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Sodium PCA	Alpha Arbutin	Dimethicone	BHT (Butylated Hydroxytoluene)	Caprylic Acid"
Dryness,Sensitive,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	Dimethicone	Kojic Acid	Dimethyl Sulfone	Alpha Arbutin	Ethylhexylglycerin"
Dryness,Sensitive,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Gluconolactone	AHA (Alpha Hydroxy Acid)	Ethylhexylglycerin	Urea	Salicylic Acid"
Dryness,Sensitive,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Niacinamide	Caffeine	Gluconolactone	AHA (Alpha Hydroxy Acid)	Sodium PCA"
Dryness,Sensitive,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	Zinc Oxide	Triethanolamine	Hydroquinone	Lactic Acid	Resveratrol"
Dryness,Sensitive,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	Ethylhexylglycerin	Octinoxate	Sodium Hydroxide	Tartaric Acid	Propylene Glycol"
Dryness,Combinational,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	Resveratrol	Carbomer	Hyaluronic Acid	Vitamin C	Licorice Extract"
Dryness,Combinational,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Ceramides	Panthenol	Caprylic Acid	Tocopherol	Dimethyl Sulfone"
Dryness,Combinational,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	Caffeine	Tocopherol	Glycolic Acid	Lactic Acid	BHT (Butylated Hydroxytoluene)"
Dryness,Combinational,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	Butylene Glycol	Kojic Acid	Tocopherol	Resveratrol	Retinol"
Dryness,Combinational,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Citric Acid	Gluconolactone	BHA (Beta Hydroxy Acid)	Dimethyl Sulfone	Butylene Glycol"
Dryness,Combinational,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	Ferulic Acid	Oxybenzone	Tartaric Acid	Benzoyl Peroxide	Ceramides"
Dryness,Combinational,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	Vitamin C	Caffeine	Tocopherol	Cyclopentasiloxane	Butylene Glycol"
Dryness,Dry,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	Tocopherol	Dimethyl Sulfone	Peptides	Kojic Acid	Octinoxate"
Dryness,Dry,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Gluconolactone	Caffeine	Glycolic Acid	Ceramides	Glycerin"
Dryness,Dry,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	Cyclopentasiloxane	Propylene Glycol	Phenoxyethanol	AHA (Alpha Hydroxy Acid)	Peptides"
Dryness,Dry,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Octinoxate	Gluconolactone	Ceramides	Dimethicone	Oxybenzone"
Dryness,Dry,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Dimethicone	Alpha Arbutin	Caffeine	Oxybenzone	Triclosan"
Dryness,Dry,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Urea	Triethanolamine	Cyclopentasiloxane	Gluconolactone	Carbomer"
Dryness,Dry,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	Ethylhexylglycerin	Glycerin	BHT (Butylated Hydroxytoluene)	Urea	Propylene Glycol"
Dryness,Oily,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	Salicylic Acid	Tocopherol	Cyclopentasiloxane	Tartaric Acid	Benzoyl Peroxide"
Dryness,Oily,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	Allantoin	Triethanolamine	Urea	Caprylic Acid	Squalane"
Dryness,Oily,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Avobenzone	Salicylic Acid	Octinoxate	Propylene Glycol	Panthenol"
Dryness,Oily,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Sodium Hydroxide	Disodium EDTA	Triethanolamine	BHT (Butylated Hydroxytoluene)	Titanium Dioxide"
Dryness,Oily,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Caprylic Acid	Lactic Acid	Triethanolamine	Propylene Glycol	Alpha Arbutin"
Dryness,Oily,"	Papaya	Banana	Milk	Honey	Oatmeal","	Phenoxyethanol	Avobenzone	Caprylic Acid	Oxybenzone	Disodium EDTA"
Dryness,Oily,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Citric Acid	Peptides	Tartaric Acid	Sodium PCA	Glycolic Acid"
